state,state_latitude,state_longitude,district,district_latitude,district_longitude,township,township_latitude,township_longitude,city,city_latitude,city_longitude,village,village_latitude,village_longitude,ward,ward_latitude,ward_longitude
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ရေကြည်မြို့နယ်,17.35258,95.11993,ငသိုင်းချောင်းမြို့,17.39927,95.07731,​ကျောက်ခဲချောင်းရွာ,17.45812035,94.98345184,,,
နေပြည်တော်ပြည်ထောင်စုနယ်မြေ,19.8747,96.1941,ဒက္ခိဏခရိုင်,19.563,96.3419,ဒက္ခိဏသီရိမြို့နယ်,19.70026174,96.09049718,ဒက္ခိဏသီရိမြို့,19.70026174,96.09049718,​ကျောက်ခဲအင်းရွာ,19.75037956,96.01046753,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,လေးမျက်နှာမြို့နယ်,17.60038,95.17454,လေးမျက်နှာမြို့,17.60038,95.17454,​ကျောက်စရစ်ကုန်းရွာ,17.66826057,95.07057953,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ပုသိမ်မြို့နယ်,16.7838,94.5765,ချောင်းသာမြို့,16.9597,94.4447,​ကျောက်စရစ်ကုန်းရွာ,16.84247017,94.74220276,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,သာပေါင်းမြို့နယ်,17.04734,94.80589,သာပေါင်းမြို့,17.04734,94.80589,​ကျောက်စရစ်ကုန်းရွာ,17.00255966,94.80814362,,,
ရန်ကုန်တိုင်းဒေသကြီး,16.797,96.158,ရန်ကုန်မြောက်ပိုင်းခရိုင်,17.2661,96.0095,ထန်းတပင်မြို့နယ်,17.0174,95.9827,ထန်းတပင်မြို့,17.0174,95.9827,​ကျောက်စရစ်ကုန်းရွာ,17.05817032,95.89922333,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ငပုတောမြို့နယ်,16.3923,94.5058,ငရုတ်ကောင်းမြို့,16.52089,94.3019,​ကျောက်တံခါးရွာ,16.1760006,94.56600189,,,
မန္တလေးတိုင်းဒေသကြီး,21.946,95.861,ပြင်ဦးလွင်ခရိုင်,21.799,96.303,မတ္တရာမြို့နယ်,22.21036,96.10639,မတ္တရာမြို့,22.21036,96.10639,​ကျောက်တံတားရွာသစ်ရွာ,22.21118927,96.18079376,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ငပုတောမြို့နယ်,16.3923,94.5058,ငရုတ်ကောင်းမြို့,16.52089,94.3019,​ကျောက်တန်းရွာ,16.50140953,94.66848755,,,
မကွေးတိုင်းဒေသကြီး,20.815,94.85,မင်းဘူးခရိုင်,20.3092,94.411,စလင်းမြို့နယ်,20.5772,94.65936,စလင်းမြို့,20.5772,94.65936,​ကျောက်တန်းရွာ,20.79659271,94.29841614,,,
